Solar,Wind,CCGT,Coal,Battery,State_of_Charge,Demand
209.8080777801306,901.0551419199944,0.0,0.0,-1.245427263503382e-10,1.0,1110.8632197000002
314.18097272509476,1069.5135539523355,0.0,0.0,0.0,1.0000000000000377,1028.5691229
309.418747066691,914.9183433999999,0.0,0.0,0.0,1.0000000000000338,914.9183433999999
200.053299689831,970.9161748747158,0.0,0.0,0.0,1.0000000000000306,858.3866650000001
171.54837728563967,971.6320819658487,0.0,0.0,0.0,1.000000000000027,793.05925988
133.33431119674214,966.3373049365242,0.0,0.0,0.0,1.0000000000000246,714.7769279099999
88.99428721668188,928.6689656810204,0.0,0.0,0.0,1.0000000000000229,649.53541125
46.45696116951775,890.938056248809,0.0,0.0,0.0,1.0000000000000207,599.37419306
19.536234587457916,879.816289431087,0.0,0.0,0.0,1.0000000000000189,566.48226206
5.206164249926163,851.1787916646816,0.0,0.0,0.0,1.0000000000000169,545.29799819
0.3799942670535233,822.4139997849766,0.0,0.0,0.0,1.0000000000000153,542.3481619799999
0.0,793.2186697889158,0.0,0.0,0.0,1.0000000000000138,553.04273234
0.0,592.323397563231,0.0,0.0,0.0,1.0000000000000124,585.54553351
0.0,518.9877712741948,0.0,0.0,118.1682079458052,1.0,637.15597922
0.0,467.01038612086097,0.0,0.0,242.59200872913925,0.96424673423456,709.60239485
0.0,456.21112421749524,0.0,0.0,308.35580438250474,0.8908474950360994,764.5669286
0.0,487.92928116920444,0.0,0.0,317.62207393079547,0.7975505988907046,805.5513550999999
0.7173214132447107,481.1583874078817,0.0,0.0,373.03300177887354,0.7014500772729976,854.9087106
11.178656415145195,509.44778412395226,0.0,0.0,386.74785056090195,0.5885842880414229,907.3742910999999
42.579120224749154,516.7639498433942,0.0,0.0,390.10697003185663,0.47156890018293396,949.4500401
94.93476866202431,531.8066936636116,0.0,0.0,347.92481587436464,0.3535371688148775,974.6662782000001
158.4089153241363,575.2456393281573,0.0,0.0,271.4536638477065,0.24826817451772357,1005.1082185
218.27315888005364,613.9922655782142,0.0,0.0,223.5421369417321,0.16613648143997425,1055.8075614
266.59035037993857,657.872634590992,0.0,0.0,184.82911432906923,0.09850101864679901,1109.2920992999998
299.23789541122125,691.938281562931,0.0,0.0,140.72684832584764,0.04257866334959127,1131.9030252999999
313.71362712070345,761.1321097192242,0.0,0.0,0.0,0.0,1051.4473333
308.9424853339455,974.1184961140764,0.0,0.0,0.0,0.005663583135660518,937.6181474
285.2765200367693,948.6268484350287,0.0,0.0,0.0,0.08927801493836554,878.4625080999999
244.49280160327618,890.5352918241732,0.0,0.0,0.0,0.17531246881199347,813.16516442
189.82349706228072,835.7511349206404,0.0,0.0,0.0,0.253219385001514,734.1175807000001
88.49185333108564,844.4872322756905,0.0,0.0,0.0,0.3237665590333985,669.05551726
65.78821967577777,791.9765683101034,0.0,0.0,0.0,0.38764925401301564,618.77365834
27.553483861971884,775.8099302743582,0.0,0.0,0.0,0.44549705262462413,586.9493954500001
7.258410854816062,754.2306790118147,0.0,0.0,0.0,0.49788006199530493,565.51935846
0.35427087989772876,738.536552339365,0.0,0.0,0.0,0.5453145319651235,561.43403969
0.0,731.89125560421,0.0,0.0,0.0,0.5882679432334764,571.1985317
0.0,750.1467544755366,0.0,0.0,0.0,0.6271636141706133,604.63441599
0.0,623.6772592494965,0.0,0.0,34.460879970503356,0.662384873089577,658.1381392200001
0.0,499.98574898452256,0.0,0.0,230.49357877547754,0.6519583038666453,730.47932776
0.0,489.2443833607591,0.0,0.0,297.0234141392407,0.5822195956096063,786.2677975
0.0,488.32924590262525,0.0,0.0,337.9261636973747,0.49235145553294235,826.2554096
0.6664636221483953,509.29799280629754,0.0,0.0,362.64089187155355,0.39010767821076514,872.6053483000001
10.926679177440725,547.6732789055982,0.0,0.0,364.8979324169609,0.28038615149987284,923.4978904999999
42.07290494853975,620.3237687480364,0.0,0.0,303.036846503424,0.16998172900959832,965.4335202
94.2734433026384,710.2256154532578,0.0,0.0,184.5345151441038,0.07829414993815993,989.0335739
157.7241033125078,784.6186396956581,0.0,0.0,74.23567529183418,0.022460929591024886,1016.5784183000001
217.65943359578932,845.6618769042107,0.0,0.0,0.0,0.0,1063.3213105
266.0444285657053,873.578983599416,0.0,0.0,0.0,0.0,1109.6853645
298.737653088041,820.5332124275827,0.0,0.0,5.766388384376228,0.007246503797288803,1125.0372539
