Commercial,Industrial,Residential,Transportation
3035.748597,7946.729901,38048.08946,129453.2215
2874.579492,8149.852633,40074.78982,76313.21939
2646.769845,8225.58065,41072.18742,55203.77475
2492.118952,7728.44745,39043.73249,42175.54635
2313.335226,7311.497039,23313.88802,35708.42171
2186.924885,6989.937964,16083.51538,26453.21513
2077.520411,6579.725987,10681.03731,17948.41593
2019.667143,6411.374427,7582.602337,13574.31584
1996.016521,6414.53266,4403.417091,10520.64791
2026.914258,6368.226505,4302.958106,10602.55787
2129.90001,6437.050666,6230.35627,9808.158299
2298.000565,7112.229538,10451.43567,15448.57323
18449.07226,8886.561657,20287.2641,19679.07681
18536.60465,9092.385288,29567.98446,36957.43712
14392.57967,8361.93068,28427.40729,42743.49811
12024.53526,8124.044729,19624.93094,41752.44154
10260.06519,7637.513157,21365.76543,45475.51218
9627.753706,7622.004738,24437.26174,55531.82657
9802.820619,7723.372337,22411.37494,63298.69648
9556.631059,7769.584981,21542.61274,66134.77144
9470.669821,7765.219204,21897.1374,75651.78864
9628.877201,7759.679115,20466.43406,101874.9274
10174.07814,7760.172144,22817.65662,135550.4
3139.369416,7690.313252,30515.92657,159995.2768
3055.076843,7743.35518,35562.84882,130393.6601
2890.551794,7906.591639,37577.1993,76851.54275
2661.137417,7970.61028,38451.58411,55596.03497
2494.872727,7584.912291,36042.26669,42283.26762
2310.273057,7219.347379,23280.0841,35727.08475
2178.675581,6891.914574,16025.35845,26426.99807
2073.335946,6482.987782,10667.56886,17963.95349
2009.085718,6303.037404,7548.787425,13553.73886
1982.656675,6296.544961,4381.174619,10496.70834
2015.166489,6242.569071,4278.931978,10587.71443
2122.142498,6317.280367,6210.700952,9826.614419
2300.041899,6941.607846,10473.95747,15524.96444
14095.56692,8051.008651,20751.39597,20153.72
14286.02482,8361.64233,30273.19595,37865.35401
11590.30549,8001.876617,28766.30135,43304.01826
9794.787955,7866.459356,19832.9718,42201.90641
8560.619503,7463.106236,21568.64676,45918.01137
8196.135467,7483.637024,24685.58788,56080.49972
8324.735973,7573.631303,22662.12345,63942.9128
8177.994359,7615.819791,21713.70758,66636.32741
8110.502773,7575.698692,21943.87342,75791.88386
8172.398413,7499.370341,20339.00051,101226.139
8482.003972,7454.64457,22587.08157,134311.8032
3141.549973,7436.640019,28001.54192,160255.4062
3062.011183,7496.372257,33282.063,130776.3843
2915.501574,7696.844667,35355.43217,77501.7953
2702.58018,7787.227464,36288.66114,56442.17528
2546.603031,7554.02058,33693.81929,43110.17277
2379.667408,7314.667616,23976.32693,36724.84239
2265.409484,7018.791036,16660.8087,27368.2047
2181.857804,6684.688406,11212.4738,18784.61043
2117.334904,6503.779619,7949.838596,14190.43014
2083.392637,6482.267216,4591.179092,10955.99411
2111.892637,6405.252513,4476.172831,11025.66084
2216.070838,6448.861763,6481.384097,10183.70947
2397.909352,6956.728614,10928.86882,16085.0568
10158.49367,7504.3596,22008.40079,21190.1924
11498.56638,8047.804949,31496.27955,39188.85357
9759.796694,7873.59478,29643.2316,44449.15192
8424.244779,7831.439814,20416.16174,43284.02932
7558.05315,7497.870502,22193.48914,47066.48441
7310.455266,7484.808542,25147.71039,56961.06764
7435.688196,7543.65413,22975.96816,64673.99258
7330.519869,7562.453972,21893.68763,67064.56212
7269.864225,7477.027669,21952.42713,75732.10887
7277.633619,7363.206091,20220.24666,100561.8434
7405.731919,7244.659344,22236.68395,132224.961
3081.945711,7159.461697,26118.3082,156773.3223
2965.768468,7137.333508,31098.08632,126460.9273
2813.820613,7276.140626,32851.23113,74647.63055
2615.340647,7367.4141,33736.26207,54552.61721
2480.507085,7267.226512,31253.35971,41932.07564
2343.556579,7132.579837,23540.2422,36048.47817
2266.947049,6837.029154,16899.49862,28217.4871
2337.124672,5262.155333,15230.13788,30785.55336
2314.015532,5031.528485,9350.478323,19344.78908
2315.968775,4765.243142,5609.210291,16211.16425
2332.701559,4580.283878,5031.00776,13734.34608
2411.03376,4526.620891,4345.771796,9997.579091
2548.598219,4741.790327,5247.314934,11484.41577
8226.271373,4875.814973,9833.556571,6495.089818
8945.143265,5128.945607,21197.93483,12168.02484
8129.059394,4821.412748,33672.95255,22436.94857
7127.358032,4560.487532,38523.04108,38847.98337
6574.218595,4392.493387,38677.28002,52953.25
6526.748142,4447.558388,39692.68392,68804.98522
6765.282386,4476.725028,38581.14774,84699.59823
6656.593062,4447.24378,38213.01205,88479.67264
6742.006769,4506.591111,32835.72997,92801.37239
6652.947229,4469.352593,32334.51792,98278.67974
6651.911673,4451.714522,33134.88975,107794.5938
2958.650224,4447.112379,38416.88896,103775.9363
2969.866648,4476.452536,38591.54689,120767.7689
2858.846369,4462.282801,44411.38103,118603.1542
2800.692854,4583.875972,41089.80271,102492.7552
2705.698824,4667.501861,36646.37084,86307.7002
2600.461237,4739.393791,25042.22865,76643.61617
2446.863888,4921.501054,19426.57313,54832.92063
2272.941213,4938.611228,15028.67208,32596.20142
2239.73399,4870.719605,9066.790265,18685.3474
2252.720565,4633.826878,5475.222485,15719.2626
2275.739297,4464.801186,4911.794927,13364.65049
2351.900535,4409.474593,4250.100607,9756.659287
2499.864934,4476.214663,5155.314675,11235.09387
6648.272917,4459.270913,9730.943604,6384.355349
7874.978438,4768.348371,20801.65542,11879.62099
7732.325867,4628.976643,32738.7239,21741.88945
7124.696321,4443.428636,37073.56353,37260.73701
6411.077556,4237.453171,37221.63673,50815.71913
6344.656504,4306.925452,38424.41861,66460.99878
6605.638919,4370.363052,37678.50369,82515.32426
6563.365261,4380.537244,37601.56278,86842.15348
6678.690245,4460.064717,32491.7625,91537.49227
6687.507762,4454.954129,32195.89547,97537.47684
