Solar,Wind,CCGT,Coal,Battery,State_of_Charge,Demand
273.61607656571124,220.32800782348576,0.0,0.0,0.0,0.0,323.4657894
286.8120055182461,261.0089795534776,0.0,0.0,0.0,0.08392649879268856,301.84085359999995
282.46462738146647,258.6579309069567,0.0,0.0,0.0,0.2050225668341249,290.87609779999997
254.8688015722363,236.94682418892404,0.0,0.0,0.0,0.3282189494993794,280.3494594
198.26487177636432,237.1215374299308,0.0,0.0,0.0,0.4323237855920927,256.6908166
150.93638226981102,235.82937582591924,0.0,0.0,0.0,0.5202956616553315,235.7623361
116.05972449978077,234.17914834412065,0.0,0.0,0.0,0.594634676575262,222.63621
60.58571042097811,264.38902123919877,0.0,0.0,0.0,0.6574534930738203,217.14644959999998
25.477702837968657,276.45602353401546,0.0,0.0,0.0,0.7105373779483768,210.8154209
6.789491858908632,276.14015639838374,0.0,0.0,0.0,0.7553949379987202,205.931801
0.4955602356626455,272.2667858168911,0.0,0.0,0.0,0.7933009936392408,207.69673139999998
0.0,270.83500019071136,0.0,0.0,0.0,0.8253328087763943,215.8525006
0.0,206.5047302410181,0.0,0.0,20.49574035898188,0.8524007045305577,227.0004706
0.0,126.65614949939027,0.0,0.0,106.15513610060972,0.8397881329878571,232.8112856
0.0,113.97135068726195,0.0,0.0,134.02162821273805,0.7744628895087993,247.9929789
0.0,111.33584941763161,0.0,0.0,159.25076368236842,0.6919892964632471,270.5866131
0.0,119.07649351577234,0.0,0.0,174.86714578422763,0.5939903177802848,293.9436393
0.6548340319574837,117.4240936328751,0.0,0.0,195.9782269351674,0.48638140383200335,314.0571546
10.204860076719447,124.32796740030763,0.0,0.0,196.38831212297293,0.3657812530315239,330.9211396
38.86996325378487,126.11343794588315,0.0,0.0,178.75955890033197,0.2449287458996977,343.7429601
86.66480072677902,129.78453795175952,0.0,0.0,137.59388372146145,0.13492453748087407,354.04322240000005
144.6095805930281,140.3855769370844,0.0,0.0,74.1921834698875,0.05025266735930113,359.187341
199.25892362669674,149.8414808303024,0.0,0.0,7.469644543000804,0.004596634335106922,356.570049
243.36710266405916,160.55024678855563,0.0,0.0,0.0,0.0,347.3665396
273.17065118723013,168.86378308841546,0.0,0.0,0.0,0.02783997474045302,327.3831324
286.385371375182,204.50812372864746,0.0,0.0,0.0,0.08428283305666238,307.22077140000005
282.0298538127951,237.72833331127143,0.0,0.0,0.0,0.17470495196474542,297.1251716
260.42548066908,251.1363716006897,0.0,0.0,0.0,0.2843072307987017,286.2794512
223.1945179696405,230.34928271668213,0.0,0.0,0.0,0.39521380171923803,263.16656589999997
173.2875718561012,230.07729044175179,0.0,0.0,0.0,0.4889365526149673,242.4900834
96.78684774225177,269.3163333057511,0.0,0.0,0.0,0.5681352387596069,230.15890969999998
60.05726909883501,262.7935870903216,0.0,0.0,0.0,0.6350606307969715,224.8692097
25.15324176674933,261.1329199360245,0.0,0.0,0.0,0.6832970150059603,219.2233886
6.626115375760694,259.57859952776613,0.0,0.0,0.0,0.7163120316485274,214.36191639999998
0.46201370902735944,256.90336110915365,0.0,0.0,0.0,0.7418342517447376,215.7635305
0.0,255.16298306334207,0.0,0.0,0.0,0.7623148480424982,223.69626319999998
0.0,225.35469317792504,0.0,0.0,9.907034322074997,0.7778059205393536,235.2617275
0.0,152.20505098402478,0.0,0.0,89.46233471597523,0.7717093768108281,241.6673857
0.0,122.01880906648837,0.0,0.0,134.46049013351166,0.7166564700828755,256.4792992
0.0,119.39743706974392,0.0,0.0,160.3963416302561,0.6339128119735788,279.7937787
0.0,119.17410273871462,0.0,0.0,183.9509562612854,0.5352088727566926,303.125059
0.6084065703131869,124.29141164201681,0.0,0.0,197.20692038766995,0.4220100070501763,322.10673859999997
9.974833107663613,133.65669198637195,0.0,0.0,194.7435363059644,0.30065374924103466,338.3750614
38.40784545799896,151.38664982352168,0.0,0.0,161.64703471847957,0.18081339707857408,351.44153
86.06108481432142,173.32670769542855,0.0,0.0,102.01041229025006,0.08133981208999717,361.39820480000003
143.98442400014298,191.48192159772134,0.0,0.0,30.168794702135727,0.018565129408543258,365.63514030000005
198.69888323322522,162.8776948667748,0.0,0.0,0.0,0.0,361.5765781
200.35660374629734,149.3558232537027,0.0,0.0,0.0,0.0,349.71242700000005
190.89979021955577,140.1726747377934,0.0,0.0,0.0,0.0,326.9739765
