Solar,Wind,CCGT,Coal,Battery,State_of_Charge,Demand
455.3791741986073,525.4350226613922,0.0,0.0,0.0,0.0,980.8141968599996
555.3422659760046,574.3400093752672,0.0,0.0,0.0,0.0,1005.4665306554448
622.8785999672672,613.1342950317579,0.0,0.0,0.0,0.022201205431970867,1009.9730386797852
652.8224775236819,748.1071130850622,0.0,0.0,0.0,0.06260153711492285,952.9030480048816
572.932669509708,856.2045180997985,0.0,0.0,0.0,0.1426777733092954,925.4603705843074
593.9976447373638,757.4334858578218,0.0,0.0,0.0,0.23270043898976517,900.6426307380285
509.628135295026,762.2893010673331,0.0,0.0,0.0,0.3132703228035192,868.4637440609998
396.5128956792333,807.4913603864563,0.0,0.0,0.0,0.3853800084697468,842.9150048226337
265.2150445653089,849.1816959798427,0.0,0.0,0.0,0.449917854822067,791.2234746872996
138.86598102532915,900.0305501714109,0.0,0.0,0.0,0.5076789388348429,749.6579027802331
58.62162860104365,869.4803643359058,0.0,0.0,0.0,0.5593748508719465,689.2896747809035
15.794927331567965,861.8919187765839,0.0,0.0,0.0,0.6020580175382246,671.7701757761555
1.203138930069258,669.4594534854755,0.0,0.0,0.0,0.6388617118965331,670.6625924155447
0.0,819.3704895972883,0.0,0.0,0.0,0.6388617118965331,674.779436159202
0.0,693.8651132269999,0.0,0.0,0.0,0.6647046168266952,693.8651132269999
0.0,459.9282849765449,0.0,0.0,239.04403424462828,0.6647046168266952,698.9723192211732
0.0,365.0646615679528,0.0,0.0,347.2625039656337,0.6112988899143484,712.3271655335865
0.0,361.1391418310641,0.0,0.0,363.07750096383836,0.5337156675917729,724.2166427949024
0.0,371.02816864755573,0.0,0.0,386.86172569244434,0.4525991572979053,757.8898943400001
1.5977104353755822,419.4204285303097,0.0,0.0,371.76561859431473,0.36616892388732536,792.78375756
23.718825970792995,467.5465194306645,0.0,0.0,328.0240869385425,0.2831113685496131,819.28943234
89.3916514490055,517.1242531503368,0.0,0.0,237.53494173065792,0.2098262733465741,844.0508463300002
198.3398693415738,557.8617367780579,0.0,0.0,140.34827951492264,0.15675769846958876,896.5498856345544
330.0821514485579,620.8334341747179,0.0,0.0,0.0,0.12540196138927462,944.2236283300584
454.1426529428064,640.203210709062,0.0,0.0,0.0,0.1265980216711051,984.8292904408572
554.2513980287451,653.7163216200771,0.0,0.0,0.0,0.14617202934635323,1003.4198654118296
621.8914104626049,626.3782744274142,0.0,0.0,0.0,0.18273107380326903,994.4012349377102
651.8839276116671,742.0316456260373,0.0,0.0,0.0,0.22810523814041803,943.6612922647618
449.40205785060016,870.6930637725965,0.0,0.0,0.0,0.30857964023797657,913.8856531915259
578.6455316869793,673.6244943739448,0.0,0.0,0.0,0.3811818685558623,888.7143675381204
503.278775591378,674.1211928168823,0.0,0.0,0.0,0.4461605380643539,852.0192789170002
395.2157787751991,725.0707198276039,0.0,0.0,0.0,0.5043161572613672,829.0722359791728
263.7876643543501,777.4796488155775,0.0,0.0,0.0,0.5563651765046121,780.6318498776103
137.7029207511949,830.5155391444108,0.0,0.0,0.0,0.6029488159902251,734.9508852723079
57.90728656050398,823.746256760493,0.0,0.0,0.0,0.6446409650612419,672.8801064852565
15.431573763711338,821.7343310367178,0.0,0.0,0.0,0.681955252161533,650.3146120362857
1.126339715829564,814.4805022303366,0.0,0.0,0.0,0.7153513723236761,648.3757701341884
0.0,786.1963476087494,0.0,0.0,0.0,0.7452407505728252,641.1710135858949
0.0,587.0795904127427,0.0,0.0,83.06660825810012,0.771161274927683,670.146198670843
0.0,360.07524033261853,0.0,0.0,334.48973963121165,0.7526030515252281,694.5649799638302
0.0,324.0131778200517,0.0,0.0,387.03233628470724,0.6778734405068809,711.0455141047589
0.0,316.52061818666704,0.0,0.0,408.04330927103473,0.5914050905218444,724.5639274577018
0.0,338.5267686577163,0.0,0.0,398.82927487228346,0.5002425996645858,737.3560435299997
1.488346974579737,333.8291026753576,0.0,0.0,439.22372984006256,0.4111386510729172,774.5411794899999
23.194232248120336,353.4563692223033,0.0,0.0,429.34901210957645,0.3130100253434179,805.9996135800001
88.34603790804874,358.5323464910423,0.0,0.0,379.6650162709086,0.21708754744821743,826.54340067
196.97707765535327,368.9690463443517,0.0,0.0,304.00124344648316,0.13226515796166005,869.9473674461881
328.6775293695368,399.10711445635184,0.0,0.0,196.82867953859187,0.06434709658932714,924.6133233644803
452.88791001177543,425.98963757402345,0.0,0.0,91.18892550004392,0.020372860875088387,970.0664730858429
